"","estimate","std_err","wald","pval","AdjPvalue"
"Bacteroides ovatus et rel.:timepoint.within.group2",0.027,0.403,0.067,0.947,0.991
"Bacteroides plebeius et rel.:timepoint.within.group2",-0.085,0.381,-0.224,0.823,0.966
"Bacteroides splachnicus et rel.:timepoint.within.group2",0.111,0.355,0.313,0.754,0.966
"Bacteroides stercoris et rel.:timepoint.within.group2",-0.219,0.353,-0.621,0.534,0.939
"Bacteroides uniformis et rel.:timepoint.within.group2",0.228,0.525,0.435,0.664,0.966
"Bacteroides vulgatus et rel.:timepoint.within.group2",0.218,0.464,0.47,0.638,0.966
"Bifidobacterium:timepoint.within.group2",-0.593,0.381,-1.556,0.12,0.576
"Bilophila et rel.:timepoint.within.group2",-0.216,0.345,-0.627,0.531,0.939
"Bryantella formatexigens et rel.:timepoint.within.group2",-0.152,0.37,-0.411,0.681,0.966
"Bulleidia moorei et rel.:timepoint.within.group2",-0.024,0.359,-0.067,0.946,0.991
"Burkholderia:timepoint.within.group2",-0.549,0.479,-1.147,0.252,0.862
"Butyrivibrio crossotus et rel.:timepoint.within.group2",-0.088,0.359,-0.245,0.807,0.966
"Campylobacter:timepoint.within.group2",-0.238,0.335,-0.711,0.477,0.931
"Catenibacterium mitsuokai et rel.:timepoint.within.group2",-0.418,0.434,-0.962,0.336,0.931
"Clostridium (sensu stricto):timepoint.within.group2",-0.281,0.354,-0.795,0.427,0.931
"Clostridium cellulosi et rel.:timepoint.within.group2",-0.049,0.471,-0.103,0.918,0.98
"Clostridium colinum et rel.:timepoint.within.group2",-0.17,0.394,-0.431,0.666,0.966
"Clostridium difficile et rel.:timepoint.within.group2",-0.217,0.383,-0.566,0.572,0.948
"Clostridium leptum et rel.:timepoint.within.group2",-0.202,0.399,-0.506,0.613,0.966
"Clostridium nexile et rel.:timepoint.within.group2",-0.274,0.404,-0.678,0.498,0.938
"Clostridium orbiscindens et rel.:timepoint.within.group2",-0.095,0.38,-0.25,0.803,0.966
"Clostridium ramosum et rel.:timepoint.within.group2",-0.199,0.334,-0.595,0.551,0.948
"Clostridium sphenoides et rel.:timepoint.within.group2",-0.247,0.351,-0.705,0.481,0.931
"Clostridium stercorarium et rel.:timepoint.within.group2",-0.347,0.348,-0.996,0.319,0.931
"Clostridium symbiosum et rel.:timepoint.within.group2",-0.228,0.363,-0.629,0.529,0.939
"Collinsella:timepoint.within.group2",-0.183,0.389,-0.472,0.637,0.966
"Coprobacillus catenaformis et rel.:timepoint.within.group2",-0.24,0.344,-0.697,0.486,0.931
"Coprococcus eutactus et rel.:timepoint.within.group2",-0.333,0.398,-0.836,0.403,0.931
"Corynebacterium:timepoint.within.group2",-0.261,0.333,-0.785,0.432,0.931
"Desulfovibrio et rel.:timepoint.within.group2",-0.054,0.343,-0.156,0.876,0.966
"Dialister:timepoint.within.group2",-0.151,0.496,-0.304,0.761,0.966
"Dorea formicigenerans et rel.:timepoint.within.group2",-0.164,0.383,-0.429,0.668,0.966
"Eggerthella lenta et rel.:timepoint.within.group2",-0.163,0.336,-0.485,0.628,0.966
"Enterobacter aerogenes et rel.:timepoint.within.group2",-0.089,0.382,-0.234,0.815,0.966
"Enterococcus:timepoint.within.group2",-0.534,0.408,-1.309,0.191,0.75
"Escherichia coli et rel.:timepoint.within.group2",0.055,0.422,0.129,0.897,0.968
"Eubacterium biforme et rel.:timepoint.within.group2",-0.08,0.432,-0.185,0.854,0.966
"Eubacterium cylindroides et rel.:timepoint.within.group2",-0.228,0.341,-0.668,0.504,0.939
"Eubacterium hallii et rel.:timepoint.within.group2",-0.327,0.386,-0.846,0.398,0.931
"Eubacterium limosum et rel.:timepoint.within.group2",-0.259,0.336,-0.772,0.44,0.931
"Eubacterium rectale et rel.:timepoint.within.group2",-0.408,0.368,-1.108,0.268,0.877
"Eubacterium siraeum et rel.:timepoint.within.group2",-0.088,0.352,-0.25,0.802,0.966
"Eubacterium ventriosum et rel.:timepoint.within.group2",-0.393,0.358,-1.099,0.272,0.883
"Faecalibacterium prausnitzii et rel.:timepoint.within.group2",-0.493,0.401,-1.229,0.219,0.813
"Fusobacteria:timepoint.within.group2",-0.162,0.339,-0.476,0.634,0.966
"Haemophilus:timepoint.within.group2",-0.035,0.451,-0.079,0.938,0.991
"Helicobacter:timepoint.within.group2",-0.26,0.334,-0.779,0.436,0.931
"Klebisiella pneumoniae et rel.:timepoint.within.group2",-0.033,0.389,-0.085,0.932,0.987
"Lachnobacillus bovis et rel.:timepoint.within.group2",0.025,0.383,0.067,0.947,0.991
"Lachnospira pectinoschiza et rel.:timepoint.within.group2",-0.342,0.354,-0.968,0.333,0.931
"Lactobacillus catenaformis et rel.:timepoint.within.group2",-0.613,0.458,-1.34,0.18,0.739
"Lactobacillus gasseri et rel.:timepoint.within.group2",-0.292,0.333,-0.876,0.381,0.931
"Lactobacillus plantarum et rel.:timepoint.within.group2",-0.34,0.339,-1.002,0.316,0.931
"Lactobacillus salivarius et rel.:timepoint.within.group2",-0.479,0.359,-1.333,0.183,0.742
"Lactococcus:timepoint.within.group2",-0.318,0.341,-0.933,0.351,0.931
"Leminorella:timepoint.within.group2",-0.199,0.394,-0.504,0.614,0.966
"Megamonas hypermegale et rel.:timepoint.within.group2",-0.261,0.333,-0.785,0.432,0.931
"Megasphaera elsdenii et rel.:timepoint.within.group2",-0.375,0.485,-0.774,0.439,0.931
"Mitsuokella multiacida et rel.:timepoint.within.group2",-0.025,0.639,-0.039,0.969,0.997
"Moraxellaceae:timepoint.within.group2",-0.565,0.444,-1.27,0.204,0.765
"Oceanospirillum:timepoint.within.group2",-0.136,0.347,-0.39,0.696,0.966
"Oscillospira guillermondii et rel.:timepoint.within.group2",0.23,0.398,0.577,0.564,0.948
"Outgrouping clostridium cluster XIVa:timepoint.within.group2",-0.252,0.367,-0.687,0.492,0.936
"Oxalobacter formigenes et rel.:timepoint.within.group2",0.138,0.418,0.331,0.741,0.966
"Papillibacter cinnamivorans et rel.:timepoint.within.group2",-0.397,0.359,-1.107,0.268,0.877
"Parabacteroides distasonis et rel.:timepoint.within.group2",0.062,0.407,0.152,0.879,0.966
"Peptococcus niger et rel.:timepoint.within.group2",-0.257,0.356,-0.722,0.47,0.931
"Peptostreptococcus micros et rel.:timepoint.within.group2",-0.336,0.334,-1.004,0.315,0.931
"Phascolarctobacterium faecium et rel.:timepoint.within.group2",-0.052,0.374,-0.14,0.888,0.967
"Prevotella melaninogenica et rel.:timepoint.within.group2",-0.423,0.572,-0.74,0.459,0.931
"Prevotella oralis et rel.:timepoint.within.group2",-0.355,0.492,-0.721,0.471,0.931
"Prevotella ruminicola et rel.:timepoint.within.group2",-0.097,0.371,-0.261,0.794,0.966
"Prevotella tannerae et rel.:timepoint.within.group2",0.096,0.397,0.243,0.808,0.966
"Propionibacterium:timepoint.within.group2",-0.243,0.337,-0.719,0.472,0.931
"Proteus et rel.:timepoint.within.group2",-0.238,0.341,-0.698,0.485,0.931
"Roseburia intestinalis et rel.:timepoint.within.group2",-0.304,0.362,-0.839,0.402,0.931
"Ruminococcus bromii et rel.:timepoint.within.group2",-0.256,0.443,-0.578,0.564,0.948
"Ruminococcus callidus et rel.:timepoint.within.group2",-0.154,0.389,-0.395,0.693,0.966
"Ruminococcus gnavus et rel.:timepoint.within.group2",-0.317,0.357,-0.888,0.375,0.931
"Ruminococcus lactaris et rel.:timepoint.within.group2",0.062,0.418,0.147,0.883,0.966
"Ruminococcus obeum et rel.:timepoint.within.group2",-0.345,0.363,-0.951,0.342,0.931
"Serratia:timepoint.within.group2",-0.15,0.451,-0.331,0.74,0.966
"Sporobacter termitidis et rel.:timepoint.within.group2",-0.021,0.372,-0.057,0.955,0.991
"Streptococcus bovis et rel.:timepoint.within.group2",-0.521,0.429,-1.213,0.225,0.826
"Streptococcus intermedius et rel.:timepoint.within.group2",-0.357,0.377,-0.948,0.343,0.931
"Streptococcus mitis et rel.:timepoint.within.group2",-0.521,0.426,-1.223,0.222,0.817
"Subdoligranulum variable at rel.:timepoint.within.group2",-0.268,0.378,-0.709,0.478,0.931
"Sutterella wadsworthia et rel.:timepoint.within.group2",-0.143,0.38,-0.376,0.707,0.966
"Tannerella et rel.:timepoint.within.group2",-0.082,0.354,-0.233,0.816,0.966
"Uncultured Bacteroidetes:timepoint.within.group2",-0.278,0.41,-0.679,0.497,0.938
"Uncultured Clostridiales I:timepoint.within.group2",0.138,0.422,0.327,0.744,0.966
"Uncultured Clostridiales II:timepoint.within.group2",0.077,0.391,0.196,0.845,0.966
"Uncultured Mollicutes:timepoint.within.group2",0.077,0.45,0.171,0.864,0.966
"Uncultured Selenomonadaceae:timepoint.within.group2",-0.258,0.367,-0.703,0.482,0.931
"Veillonella:timepoint.within.group2",-0.431,0.396,-1.089,0.276,0.889
"Vibrio:timepoint.within.group2",-0.129,0.338,-0.381,0.703,0.966
"Weissella et rel.:timepoint.within.group2",-0.755,0.43,-1.754,0.08,0.41
"Xanthomonadaceae:timepoint.within.group2",-0.629,0.417,-1.508,0.132,0.607
"Yersinia et rel.:timepoint.within.group2",-0.094,0.345,-0.272,0.786,0.966
"bmi_groupoverweight:timepoint.within.group2",0.083,0.433,0.192,0.848,0.966
"bmi_groupobese:timepoint.within.group2",0.154,0.472,0.325,0.745,0.966
"Alcaligenes faecalis et rel.:bmi_groupoverweight:timepoint.within.group2",-0.01,0.531,-0.019,0.985,0.997
"Allistipes et rel.:bmi_groupoverweight:timepoint.within.group2",-0.265,0.552,-0.479,0.632,0.966
"Anaerostipes caccae et rel.:bmi_groupoverweight:timepoint.within.group2",-0.319,0.512,-0.622,0.534,0.939
"Anaerotruncus colihominis et rel.:bmi_groupoverweight:timepoint.within.group2",-0.241,0.561,-0.43,0.667,0.966
"Anaerovorax odorimutans et rel.:bmi_groupoverweight:timepoint.within.group2",0.004,0.459,0.008,0.993,0.997
"Aquabacterium:bmi_groupoverweight:timepoint.within.group2",-0.189,0.5,-0.378,0.705,0.966
"Atopobium:bmi_groupoverweight:timepoint.within.group2",-0.296,0.533,-0.554,0.579,0.949
"Bacillus:bmi_groupoverweight:timepoint.within.group2",0.137,0.444,0.309,0.757,0.966
"Bacteroides fragilis et rel.:bmi_groupoverweight:timepoint.within.group2",-0.448,0.589,-0.761,0.447,0.931
"Bacteroides intestinalis et rel.:bmi_groupoverweight:timepoint.within.group2",-0.087,0.592,-0.147,0.883,0.966
"Bacteroides ovatus et rel.:bmi_groupoverweight:timepoint.within.group2",-0.367,0.56,-0.656,0.512,0.939
"Bacteroides plebeius et rel.:bmi_groupoverweight:timepoint.within.group2",-0.248,0.511,-0.486,0.627,0.966
"Bacteroides splachnicus et rel.:bmi_groupoverweight:timepoint.within.group2",-0.357,0.482,-0.741,0.458,0.931
"Bacteroides stercoris et rel.:bmi_groupoverweight:timepoint.within.group2",-0.123,0.516,-0.238,0.812,0.966
"Bacteroides uniformis et rel.:bmi_groupoverweight:timepoint.within.group2",-0.466,0.71,-0.656,0.512,0.939
"Bacteroides vulgatus et rel.:bmi_groupoverweight:timepoint.within.group2",-0.512,0.643,-0.796,0.426,0.931
"Bifidobacterium:bmi_groupoverweight:timepoint.within.group2",0.302,0.522,0.578,0.563,0.948
"Bilophila et rel.:bmi_groupoverweight:timepoint.within.group2",-0.006,0.462,-0.013,0.99,0.997
"Bryantella formatexigens et rel.:bmi_groupoverweight:timepoint.within.group2",-0.505,0.504,-1.001,0.317,0.931
"Bulleidia moorei et rel.:bmi_groupoverweight:timepoint.within.group2",-0.23,0.473,-0.486,0.627,0.966
"Burkholderia:bmi_groupoverweight:timepoint.within.group2",0.551,0.628,0.877,0.38,0.931
"Butyrivibrio crossotus et rel.:bmi_groupoverweight:timepoint.within.group2",-0.101,0.5,-0.202,0.84,0.966
"Campylobacter:bmi_groupoverweight:timepoint.within.group2",0.067,0.443,0.151,0.88,0.966
"Catenibacterium mitsuokai et rel.:bmi_groupoverweight:timepoint.within.group2",0.287,0.589,0.487,0.626,0.966
"Clostridium (sensu stricto):bmi_groupoverweight:timepoint.within.group2",0.175,0.468,0.373,0.709,0.966
"Clostridium cellulosi et rel.:bmi_groupoverweight:timepoint.within.group2",0.075,0.66,0.114,0.909,0.974
"Clostridium colinum et rel.:bmi_groupoverweight:timepoint.within.group2",-0.324,0.529,-0.611,0.541,0.94
"Clostridium difficile et rel.:bmi_groupoverweight:timepoint.within.group2",0.03,0.5,0.059,0.953,0.991
"Clostridium leptum et rel.:bmi_groupoverweight:timepoint.within.group2",0.021,0.518,0.041,0.968,0.997
"Clostridium nexile et rel.:bmi_groupoverweight:timepoint.within.group2",-0.411,0.523,-0.785,0.432,0.931
"Clostridium orbiscindens et rel.:bmi_groupoverweight:timepoint.within.group2",-0.456,0.495,-0.921,0.357,0.931
"Clostridium ramosum et rel.:bmi_groupoverweight:timepoint.within.group2",0.044,0.445,0.1,0.92,0.981
"Clostridium sphenoides et rel.:bmi_groupoverweight:timepoint.within.group2",-0.284,0.479,-0.594,0.553,0.948
"Clostridium stercorarium et rel.:bmi_groupoverweight:timepoint.within.group2",0.106,0.51,0.208,0.835,0.966
"Clostridium symbiosum et rel.:bmi_groupoverweight:timepoint.within.group2",-0.303,0.489,-0.619,0.536,0.939
"Collinsella:bmi_groupoverweight:timepoint.within.group2",-0.302,0.514,-0.587,0.558,0.948
"Coprobacillus catenaformis et rel.:bmi_groupoverweight:timepoint.within.group2",-0.02,0.46,-0.044,0.965,0.997
"Coprococcus eutactus et rel.:bmi_groupoverweight:timepoint.within.group2",-0.544,0.523,-1.041,0.298,0.931
"Corynebacterium:bmi_groupoverweight:timepoint.within.group2",0.065,0.442,0.148,0.883,0.966
"Desulfovibrio et rel.:bmi_groupoverweight:timepoint.within.group2",-0.159,0.478,-0.333,0.739,0.966
"Dialister:bmi_groupoverweight:timepoint.within.group2",0.047,0.699,0.068,0.946,0.991
"Dorea formicigenerans et rel.:bmi_groupoverweight:timepoint.within.group2",-0.489,0.498,-0.982,0.326,0.931
"Eggerthella lenta et rel.:bmi_groupoverweight:timepoint.within.group2",-0.092,0.445,-0.206,0.837,0.966
"Enterobacter aerogenes et rel.:bmi_groupoverweight:timepoint.within.group2",-0.153,0.491,-0.312,0.755,0.966
"Enterococcus:bmi_groupoverweight:timepoint.within.group2",0.244,0.521,0.468,0.64,0.966
"Escherichia coli et rel.:bmi_groupoverweight:timepoint.within.group2",-0.231,0.626,-0.37,0.712,0.966
"Eubacterium biforme et rel.:bmi_groupoverweight:timepoint.within.group2",-0.462,0.584,-0.791,0.429,0.931
"Eubacterium cylindroides et rel.:bmi_groupoverweight:timepoint.within.group2",-0.054,0.455,-0.118,0.906,0.974
"Eubacterium hallii et rel.:bmi_groupoverweight:timepoint.within.group2",-0.447,0.507,-0.882,0.378,0.931
"Eubacterium limosum et rel.:bmi_groupoverweight:timepoint.within.group2",-0.101,0.454,-0.223,0.824,0.966
"Eubacterium rectale et rel.:bmi_groupoverweight:timepoint.within.group2",-0.354,0.508,-0.696,0.486,0.931
"Eubacterium siraeum et rel.:bmi_groupoverweight:timepoint.within.group2",-0.009,0.474,-0.019,0.985,0.997
"Eubacterium ventriosum et rel.:bmi_groupoverweight:timepoint.within.group2",-0.188,0.481,-0.392,0.695,0.966
"Faecalibacterium prausnitzii et rel.:bmi_groupoverweight:timepoint.within.group2",-0.246,0.535,-0.461,0.645,0.966
"Fusobacteria:bmi_groupoverweight:timepoint.within.group2",-0.038,0.448,-0.086,0.931,0.987
"Haemophilus:bmi_groupoverweight:timepoint.within.group2",-0.133,0.591,-0.225,0.822,0.966
"Helicobacter:bmi_groupoverweight:timepoint.within.group2",0.084,0.443,0.19,0.849,0.966
"Klebisiella pneumoniae et rel.:bmi_groupoverweight:timepoint.within.group2",-0.175,0.5,-0.35,0.726,0.966
"Lachnobacillus bovis et rel.:bmi_groupoverweight:timepoint.within.group2",-0.32,0.517,-0.62,0.535,0.939
"Lachnospira pectinoschiza et rel.:bmi_groupoverweight:timepoint.within.group2",0.047,0.489,0.097,0.923,0.982
"Lactobacillus catenaformis et rel.:bmi_groupoverweight:timepoint.within.group2",0.297,0.563,0.527,0.598,0.963
"Lactobacillus gasseri et rel.:bmi_groupoverweight:timepoint.within.group2",0.057,0.444,0.129,0.897,0.968
"Lactobacillus plantarum et rel.:bmi_groupoverweight:timepoint.within.group2",0.11,0.451,0.245,0.806,0.966
"Lactobacillus salivarius et rel.:bmi_groupoverweight:timepoint.within.group2",0.198,0.487,0.406,0.685,0.966
"Lactococcus:bmi_groupoverweight:timepoint.within.group2",0.075,0.455,0.165,0.869,0.966
"Leminorella:bmi_groupoverweight:timepoint.within.group2",0.28,0.549,0.509,0.611,0.966
"Megamonas hypermegale et rel.:bmi_groupoverweight:timepoint.within.group2",0.109,0.443,0.245,0.806,0.966
"Megasphaera elsdenii et rel.:bmi_groupoverweight:timepoint.within.group2",0.563,0.648,0.869,0.385,0.931
"Mitsuokella multiacida et rel.:bmi_groupoverweight:timepoint.within.group2",0.276,0.838,0.329,0.742,0.966
"Moraxellaceae:bmi_groupoverweight:timepoint.within.group2",0.398,0.571,0.698,0.485,0.931
"Oceanospirillum:bmi_groupoverweight:timepoint.within.group2",-0.115,0.46,-0.25,0.803,0.966
"Oscillospira guillermondii et rel.:bmi_groupoverweight:timepoint.within.group2",-0.405,0.548,-0.739,0.46,0.931
"Outgrouping clostridium cluster XIVa:bmi_groupoverweight:timepoint.within.group2",-0.164,0.491,-0.335,0.737,0.966
"Oxalobacter formigenes et rel.:bmi_groupoverweight:timepoint.within.group2",-0.24,0.544,-0.442,0.658,0.966
"Papillibacter cinnamivorans et rel.:bmi_groupoverweight:timepoint.within.group2",-0.358,0.48,-0.746,0.455,0.931
"Parabacteroides distasonis et rel.:bmi_groupoverweight:timepoint.within.group2",-0.396,0.552,-0.717,0.474,0.931
"Peptococcus niger et rel.:bmi_groupoverweight:timepoint.within.group2",-0.103,0.472,-0.219,0.827,0.966
"Peptostreptococcus micros et rel.:bmi_groupoverweight:timepoint.within.group2",0.19,0.444,0.427,0.669,0.966
"Phascolarctobacterium faecium et rel.:bmi_groupoverweight:timepoint.within.group2",0.093,0.547,0.171,0.865,0.966
"Prevotella melaninogenica et rel.:bmi_groupoverweight:timepoint.within.group2",0.458,0.815,0.561,0.575,0.948
"Prevotella oralis et rel.:bmi_groupoverweight:timepoint.within.group2",0.159,0.68,0.233,0.816,0.966
"Prevotella ruminicola et rel.:bmi_groupoverweight:timepoint.within.group2",-0.086,0.5,-0.172,0.863,0.966
"Prevotella tannerae et rel.:bmi_groupoverweight:timepoint.within.group2",-0.468,0.538,-0.87,0.384,0.931
"Propionibacterium:bmi_groupoverweight:timepoint.within.group2",0.063,0.448,0.14,0.889,0.967
"Proteus et rel.:bmi_groupoverweight:timepoint.within.group2",0.105,0.449,0.234,0.815,0.966
"Roseburia intestinalis et rel.:bmi_groupoverweight:timepoint.within.group2",-0.286,0.499,-0.573,0.566,0.948
"Ruminococcus bromii et rel.:bmi_groupoverweight:timepoint.within.group2",-0.174,0.58,-0.301,0.764,0.966
"Ruminococcus callidus et rel.:bmi_groupoverweight:timepoint.within.group2",0.033,0.523,0.062,0.95,0.991
"Ruminococcus gnavus et rel.:bmi_groupoverweight:timepoint.within.group2",-0.414,0.484,-0.855,0.393,0.931
"Ruminococcus lactaris et rel.:bmi_groupoverweight:timepoint.within.group2",-0.461,0.534,-0.863,0.388,0.931
"Ruminococcus obeum et rel.:bmi_groupoverweight:timepoint.within.group2",-0.328,0.488,-0.672,0.502,0.939
"Serratia:bmi_groupoverweight:timepoint.within.group2",-0.078,0.578,-0.136,0.892,0.967
"Sporobacter termitidis et rel.:bmi_groupoverweight:timepoint.within.group2",-0.099,0.523,-0.189,0.85,0.966
"Streptococcus bovis et rel.:bmi_groupoverweight:timepoint.within.group2",-0.003,0.577,-0.005,0.996,0.997
"Streptococcus intermedius et rel.:bmi_groupoverweight:timepoint.within.group2",0.158,0.509,0.31,0.756,0.966
"Streptococcus mitis et rel.:bmi_groupoverweight:timepoint.within.group2",0.305,0.558,0.546,0.585,0.951
"Subdoligranulum variable at rel.:bmi_groupoverweight:timepoint.within.group2",-0.144,0.502,-0.287,0.774,0.966
"Sutterella wadsworthia et rel.:bmi_groupoverweight:timepoint.within.group2",-0.231,0.519,-0.445,0.656,0.966
"Tannerella et rel.:bmi_groupoverweight:timepoint.within.group2",-0.208,0.473,-0.44,0.66,0.966
"Uncultured Bacteroidetes:bmi_groupoverweight:timepoint.within.group2",0.252,0.531,0.476,0.634,0.966
"Uncultured Clostridiales I:bmi_groupoverweight:timepoint.within.group2",-0.557,0.56,-0.994,0.32,0.931
"Uncultured Clostridiales II:bmi_groupoverweight:timepoint.within.group2",-0.149,0.52,-0.287,0.774,0.966
"Uncultured Mollicutes:bmi_groupoverweight:timepoint.within.group2",-0.514,0.576,-0.893,0.372,0.931
"Uncultured Selenomonadaceae:bmi_groupoverweight:timepoint.within.group2",0.204,0.503,0.406,0.685,0.966
"Veillonella:bmi_groupoverweight:timepoint.within.group2",0.348,0.524,0.663,0.507,0.939
"Vibrio:bmi_groupoverweight:timepoint.within.group2",0.013,0.448,0.03,0.976,0.997
"Weissella et rel.:bmi_groupoverweight:timepoint.within.group2",0.487,0.532,0.915,0.36,0.931
"Xanthomonadaceae:bmi_groupoverweight:timepoint.within.group2",0.53,0.58,0.913,0.361,0.931
"Yersinia et rel.:bmi_groupoverweight:timepoint.within.group2",-0.138,0.452,-0.306,0.759,0.966
"Alcaligenes faecalis et rel.:bmi_groupobese:timepoint.within.group2",0.019,0.576,0.033,0.974,0.997
"Allistipes et rel.:bmi_groupobese:timepoint.within.group2",-0.036,0.594,-0.061,0.952,0.991
"Anaerostipes caccae et rel.:bmi_groupobese:timepoint.within.group2",-0.331,0.58,-0.571,0.568,0.948
"Anaerotruncus colihominis et rel.:bmi_groupobese:timepoint.within.group2",-0.303,0.557,-0.544,0.586,0.951
"Anaerovorax odorimutans et rel.:bmi_groupobese:timepoint.within.group2",-0.232,0.509,-0.455,0.649,0.966
"Aquabacterium:bmi_groupobese:timepoint.within.group2",-0.295,0.508,-0.58,0.562,0.948
"Atopobium:bmi_groupobese:timepoint.within.group2",0.042,0.613,0.068,0.946,0.991
"Bacillus:bmi_groupobese:timepoint.within.group2",0.003,0.481,0.006,0.995,0.997
"Bacteroides fragilis et rel.:bmi_groupobese:timepoint.within.group2",-0.428,0.633,-0.677,0.499,0.938
"Bacteroides intestinalis et rel.:bmi_groupobese:timepoint.within.group2",0.372,0.564,0.659,0.51,0.939
"Bacteroides ovatus et rel.:bmi_groupobese:timepoint.within.group2",-0.153,0.614,-0.25,0.803,0.966
"Bacteroides plebeius et rel.:bmi_groupobese:timepoint.within.group2",-0.097,0.565,-0.172,0.864,0.966
"Bacteroides splachnicus et rel.:bmi_groupobese:timepoint.within.group2",-0.218,0.543,-0.401,0.688,0.966
"Bacteroides stercoris et rel.:bmi_groupobese:timepoint.within.group2",-0.186,0.515,-0.36,0.719,0.966
"Bacteroides uniformis et rel.:bmi_groupobese:timepoint.within.group2",-0.54,0.726,-0.744,0.457,0.931
"Bacteroides vulgatus et rel.:bmi_groupobese:timepoint.within.group2",-0.417,0.676,-0.617,0.537,0.939
"Bifidobacterium:bmi_groupobese:timepoint.within.group2",0.102,0.57,0.178,0.858,0.966
"Bilophila et rel.:bmi_groupobese:timepoint.within.group2",0.083,0.495,0.168,0.866,0.966
"Bryantella formatexigens et rel.:bmi_groupobese:timepoint.within.group2",-0.464,0.556,-0.835,0.404,0.931
"Bulleidia moorei et rel.:bmi_groupobese:timepoint.within.group2",-0.227,0.523,-0.434,0.664,0.966
"Burkholderia:bmi_groupobese:timepoint.within.group2",0.544,0.678,0.802,0.422,0.931
"Butyrivibrio crossotus et rel.:bmi_groupobese:timepoint.within.group2",-0.001,0.514,-0.002,0.998,0.998
"Campylobacter:bmi_groupobese:timepoint.within.group2",-0.109,0.481,-0.226,0.821,0.966
"Catenibacterium mitsuokai et rel.:bmi_groupobese:timepoint.within.group2",0.106,0.572,0.185,0.853,0.966
"Clostridium (sensu stricto):bmi_groupobese:timepoint.within.group2",-0.107,0.501,-0.214,0.831,0.966
"Clostridium cellulosi et rel.:bmi_groupobese:timepoint.within.group2",-0.266,0.612,-0.435,0.664,0.966
"Clostridium colinum et rel.:bmi_groupobese:timepoint.within.group2",-0.326,0.555,-0.587,0.557,0.948
"Clostridium difficile et rel.:bmi_groupobese:timepoint.within.group2",-0.237,0.538,-0.44,0.66,0.966
"Clostridium leptum et rel.:bmi_groupobese:timepoint.within.group2",-0.102,0.548,-0.187,0.852,0.966
"Clostridium nexile et rel.:bmi_groupobese:timepoint.within.group2",-0.437,0.591,-0.74,0.459,0.931
"Clostridium orbiscindens et rel.:bmi_groupobese:timepoint.within.group2",-0.469,0.568,-0.826,0.409,0.931
"Clostridium ramosum et rel.:bmi_groupobese:timepoint.within.group2",-0.172,0.481,-0.358,0.721,0.966
"Clostridium sphenoides et rel.:bmi_groupobese:timepoint.within.group2",-0.452,0.509,-0.888,0.375,0.931
"Clostridium stercorarium et rel.:bmi_groupobese:timepoint.within.group2",-0.331,0.567,-0.584,0.559,0.948
"Clostridium symbiosum et rel.:bmi_groupobese:timepoint.within.group2",-0.465,0.519,-0.895,0.371,0.931
"Collinsella:bmi_groupobese:timepoint.within.group2",-0.382,0.545,-0.701,0.484,0.931
"Coprobacillus catenaformis et rel.:bmi_groupobese:timepoint.within.group2",-0.222,0.49,-0.453,0.65,0.966
"Coprococcus eutactus et rel.:bmi_groupobese:timepoint.within.group2",-0.136,0.575,-0.237,0.812,0.966
"Corynebacterium:bmi_groupobese:timepoint.within.group2",-0.098,0.48,-0.204,0.838,0.966
"Desulfovibrio et rel.:bmi_groupobese:timepoint.within.group2",-0.276,0.491,-0.561,0.575,0.948
"Dialister:bmi_groupobese:timepoint.within.group2",-0.649,0.652,-0.996,0.319,0.931
"Dorea formicigenerans et rel.:bmi_groupobese:timepoint.within.group2",-0.444,0.538,-0.824,0.41,0.931
"Eggerthella lenta et rel.:bmi_groupobese:timepoint.within.group2",-0.244,0.485,-0.504,0.614,0.966
"Enterobacter aerogenes et rel.:bmi_groupobese:timepoint.within.group2",-0.442,0.533,-0.829,0.407,0.931
"Enterococcus:bmi_groupobese:timepoint.within.group2",0.076,0.538,0.142,0.887,0.967
"Escherichia coli et rel.:bmi_groupobese:timepoint.within.group2",-0.401,0.563,-0.712,0.476,0.931
"Eubacterium biforme et rel.:bmi_groupobese:timepoint.within.group2",-0.3,0.609,-0.492,0.623,0.966
"Eubacterium cylindroides et rel.:bmi_groupobese:timepoint.within.group2",-0.12,0.485,-0.248,0.804,0.966
"Eubacterium hallii et rel.:bmi_groupobese:timepoint.within.group2",-0.244,0.532,-0.458,0.647,0.966
"Eubacterium limosum et rel.:bmi_groupobese:timepoint.within.group2",-0.09,0.482,-0.187,0.852,0.966
"Eubacterium rectale et rel.:bmi_groupobese:timepoint.within.group2",-0.386,0.526,-0.734,0.463,0.931
"Eubacterium siraeum et rel.:bmi_groupobese:timepoint.within.group2",-0.26,0.5,-0.521,0.603,0.966
"Eubacterium ventriosum et rel.:bmi_groupobese:timepoint.within.group2",-0.117,0.515,-0.227,0.82,0.966
"Faecalibacterium prausnitzii et rel.:bmi_groupobese:timepoint.within.group2",0.222,0.603,0.368,0.713,0.966
"Fusobacteria:bmi_groupobese:timepoint.within.group2",-0.172,0.49,-0.35,0.726,0.966
"Haemophilus:bmi_groupobese:timepoint.within.group2",-0.015,0.66,-0.022,0.982,0.997
"Helicobacter:bmi_groupobese:timepoint.within.group2",-0.076,0.481,-0.159,0.874,0.966
